peso,stat,giorno,t_2026,clim_1961_1990,clim_1991_2020,t_2003,vs_1961_1990,vs_1991_2020,vs_2003
pop,mean,19,26.29886775694302,19.028113914399345,21.37822052782158,23.78577914166471,7.270753842543677,4.9206472291214425,2.51308861527831
pop,mean,20,26.843477796969054,19.514477507769705,21.46255360187814,24.78498131248074,7.3290002891993495,5.380924195090913,2.058496484488316
pop,mean,21,27.26647036598897,20.001564188959314,21.713515698612344,25.221213581573068,7.264906177029655,5.552954667376625,2.0452567844159013
pop,mean,22,27.40227205932047,20.238357159342254,22.0520622593843,25.263643192866407,7.1639148999782165,5.35020979993617,2.138628866454063
pop,mean,23,27.443786582077617,20.55844235051665,22.065486672541816,25.65179687369225,6.885344231560968,5.3782999095358015,1.791989708385369
pop,mean,24,27.095232928955458,20.595757362366662,22.081661106615094,26.190374865095723,6.499475566588796,5.013571822340364,0.9048580638597343
pop,mean,25,27.01821276828028,20.807922626162146,22.115763749197946,26.606275673340143,6.210290142118133,4.902449019082333,0.41193709494013575
pop,mean,26,27.476202011697023,21.062629170784763,22.288959807487657,26.36295241403199,6.413572840912259,5.187242204209365,1.1132495976650318
pop,mean,27,28.248602098266087,21.10871071217864,22.552632850079465,25.40407173577123,7.139891386087445,5.695969248186621,2.844530362494858
pop,mean,28,28.85988599023204,21.101183320405035,22.65309853289001,24.343919659210663,7.758702669827006,6.206787457342031,4.515966331021378
pop,mean,29,28.650595264608235,21.13653438701037,22.53336646410544,24.205510572285483,7.5140608775978635,6.117228800502794,4.445084692322752
pop,mean,30,27.920842571001728,21.129800283265595,22.71201229391651,24.983564900659005,6.791042287736133,5.2088302770852195,2.9372776703427235
pop,min,1,17.538848210546078,12.58199904110475,13.538187756333754,15.61661834124303,4.956849169441329,4.0006604542123245,1.9222298693030488
pop,min,2,17.129880272385872,12.54455127751815,13.900469177890207,15.514625756422804,4.585328994867723,3.2294110944956653,1.615254515963068
pop,min,3,16.413932416205693,12.545081711875282,14.01103785833687,16.021181936174884,3.868850704330411,2.402894557868823,0.39275048003080926
pop,min,4,15.529780856697684,12.772420973248083,14.136997189622598,16.066068786798812,2.7573598834496007,1.3927836670750864,-0.5362879301011283
pop,min,5,15.812328058769634,12.886040467582902,14.499676391415534,16.556443465390974,2.926287591186732,1.3126516673540998,-0.74411540662134
pop,min,6,16.289733199705854,13.189544121471158,14.530479384985723,17.45911390595187,3.1001890782346955,1.7592538147201306,-1.1693807062460166
pop,min,7,15.606071404129546,13.319361864059466,14.543968715629688,17.532375254892134,2.2867095400700794,1.0621026884998575,-1.9263038507625883
pop,min,8,16.657880957207585,13.376658959900633,14.963572937498094,17.930204026029948,3.281221997306952,1.6943080197094904,-1.272323068822363
pop,min,9,17.187525786373723,13.429672457149511,14.910892581598974,17.872585774896052,3.7578533292242113,2.2766332047747486,-0.6850599885223296
pop,min,10,17.062084963448694,13.429144953279135,15.163099869670237,18.287284268619334,3.632940010169559,1.8989850937784567,-1.2251993051706407
pop,min,11,16.194705491382695,13.559257712933624,15.445002568673521,18.84883129588424,2.6354477784490715,0.749702922709174,-2.6541258045015432
pop,min,12,15.389392512890112,13.906097270098256,15.342407823073595,19.87832406690542,1.483295242791856,0.046984689816516934,-4.488931554015309
pop,min,13,15.61339563506642,14.017033211293114,15.371542766847725,20.195307644472972,1.5963624237733054,0.2418528682186949,-4.581912009406553
pop,min,14,17.244009389045885,14.395624653646733,15.39312855352682,20.620356375044413,2.8483847353991525,1.8508808355190656,-3.376346985998527
pop,min,15,17.045842939721833,14.706332655840278,15.685220208668872,20.524716164489277,2.3395102838815554,1.3606227310529615,-3.478873224767444
pop,min,16,17.746581719296458,14.438151140045756,15.991406092530935,20.703365122234988,3.308430579250702,1.7551756267655225,-2.9567834029385303
pop,min,17,17.986940001731767,14.39545280916824,16.174557818513325,20.439482534567652,3.5914871925635268,1.8123821832184426,-2.452542532835885
pop,min,18,19.098463483690477,14.176104204223257,16.04289338003124,19.360059709430168,4.922359279467219,3.0555701036592353,-0.2615962257396909
pop,min,19,20.142217491873744,14.187798262042001,16.08760925784365,18.405357380228097,5.954419229831743,4.054608234030095,1.7368601116456475
pop,min,20,20.393450060070528,14.372110895764669,16.249046963993653,18.101019994221875,6.021339164305859,4.144403096076875,2.2924300658486523
pop,min,21,21.182391673991617,14.940880062789835,16.2962540588832,19.023353224805877,6.241511611201782,4.886137615108417,2.15903844918574
pop,min,22,21.43054977682328,15.252382797769108,16.56111589676605,19.43114874801255,6.178166979054172,4.86943388005723,1.9994010288107305
pop,min,23,21.541927352212763,15.628586520021383,16.862681138415557,19.780433847002207,5.9133408321913805,4.679246213797207,1.7614935052105558
pop,min,24,22.0003777499742,15.757611883294455,16.91839892433051,19.82102283319361,6.242765866679743,5.081978825643688,2.1793549167805892
pop,min,25,21.64024602962305,15.721753510241191,17.05460669950994,20.255370373675447,5.918492519381859,4.585639330113111,1.384875655947603
pop,min,26,21.713133944329112,15.995499486509296,17.11710690215179,20.962236711962245,5.717634457819816,4.596027042177322,0.7508972323668672
pop,min,27,22.03712789211068,16.234576027216708,17.30294177873429,20.519082093228484,5.802551864893971,4.7341861133763885,1.518045798882195
pop,min,28,22.77148078112117,16.08420250508545,17.55919263721125,20.159917699377623,6.68727827603572,5.21228814390992,2.6115630817435473
pop,min,29,23.21853100533441,16.23415149293441,17.62279688979768,19.6875382089998,6.9843795124,5.595734115536729,3.5309927963346084
pop,min,30,22.572912173250806,16.11130823356243,17.472715194430815,19.679944041469515,6.461603939688377,5.100196978819991,2.8929681317812914
