regione,peso,stat,n_anni_6190,n_anni_9120,media_1961_1990,media_1991_2020,t_2003,t_2026,mese,giorni,vs_1961_1990,vs_1991_2020,vs_2003
Puglia,area,mean,30,30,17.134017191010045,17.920979023802705,19.956581557954223,18.46792509577597,5,1-31,1.3339079047659261,0.5469460719732666,-1.4886564621782519
Puglia,area,min,30,30,12.519738293323277,13.289897688910244,14.631612133129341,14.059258356839667,5,1-31,1.53952006351639,0.7693606679294227,-0.572353776289674
Puglia,pop,max,30,30,21.707132307544327,22.439721283220035,24.846803739659943,22.80340887056927,5,1-31,1.0962765630249436,0.36368758734923645,-2.0433948690906725
Puglia,pop,mean,30,30,17.573800586244307,18.30819658728872,20.18586633328709,18.887604063467343,5,1-31,1.3138034772230363,0.5794074761786234,-1.2982622698197481
Puglia,pop,min,30,30,13.350491758153408,14.088419836156456,15.285410095307274,14.871980647873777,5,1-31,1.5214888897203682,0.7835608117173205,-0.4134294474334972
Sardegna,area,max,30,30,20.17952026193744,21.45700732986874,23.402439595329206,22.295316088819764,5,1-31,2.115795826882323,0.8383087589510225,-1.107123506509442
Sardegna,area,mean,30,30,15.60798007643446,16.689214663376568,18.25125925002565,17.752143493572675,5,1-31,2.1441634171382145,1.0629288301961068,-0.49911575645297646
Sardegna,area,min,30,30,11.096936349733289,11.939759088950936,13.244833862128848,13.210437726240928,5,1-31,2.1135013765076387,1.2706786372899916,-0.034396135887920565
Sardegna,pop,max,30,30,20.543227211415658,21.774494581090288,23.474996845481247,22.79070352768829,5,1-31,2.247476316272632,1.0162089465980024,-0.6842933177929567
Sardegna,pop,mean,30,30,16.15251623867111,17.223460516973578,18.644653677203653,18.383888781372733,5,1-31,2.231372542701621,1.1604282643991546,-0.26076489583092055
Sardegna,pop,min,30,30,11.793048258683447,12.660014535499117,13.948653531632113,13.920212084144941,5,1-31,2.127163825461494,1.2601975486458237,-0.0284414474871717
Sicilia,area,max,30,30,21.247390200662004,22.08843679307551,23.309624707347815,22.241406857711358,5,1-31,0.9940166570493538,0.1529700646358485,-1.0682178496364578
Sicilia,area,mean,30,30,16.591839476632153,17.35575576731772,18.529116078632793,17.784055771130408,5,1-31,1.1922162944982553,0.4283000038126872,-0.7450603075023849
Sicilia,area,min,30,30,11.80641651665942,12.471386715921087,13.564932769563084,13.177648878786332,5,1-31,1.3712323621269125,0.7062621628652455,-0.38728389077675196
Sicilia,pop,max,30,30,21.336113591196355,22.15270587997294,23.405255724944244,22.551324964258615,5,1-31,1.2152113730622602,0.3986190842856736,-0.8539307606856283
Sicilia,pop,mean,30,30,17.115703691201826,17.868241973326043,19.055855059656643,18.496169798803844,5,1-31,1.3804661076020182,0.6279278254778013,-0.5596852608527989
Sicilia,pop,min,30,30,12.75740948602124,13.436187976169496,14.515012277270442,14.306660037758526,5,1-31,1.5492505517372859,0.8704720615890302,-0.20835223951191573
Toscana,area,max,30,30,18.965883506701385,20.16488675478992,23.39811729846102,21.29699444682795,5,1-31,2.331110940126564,1.13210769203803,-2.1011228516330718
Toscana,area,mean,30,30,14.644898159348845,15.70601254002765,18.188627146046965,16.91650489708145,5,1-31,2.271606737732604,1.2104923570537984,-1.2721222489655162
Toscana,area,min,30,30,10.06775625996689,10.926010029605216,12.564080978485896,12.127465477003243,5,1-31,2.059709217036353,1.2014554473980272,-0.4366155014826525
Toscana,pop,max,30,30,19.390544762513837,20.623284641892177,23.87343027231412,21.876037179786625,5,1-31,2.4854924172727877,1.2527525378944482,-1.9973930925274956
Toscana,pop,mean,30,30,15.041586045986271,16.121023697067397,18.56908988708828,17.47072718489249,5,1-31,2.4291411389062176,1.3497034878250922,-1.0983627021957894
Toscana,pop,min,30,30,10.287450686277023,11.130570440106382,12.623319928452032,12.4630843949702,5,1-31,2.1756337086931783,1.3325139548638187,-0.16023553348183128
Trentino-Alto Adige,area,max,30,30,10.054279917304722,11.774810875821789,13.871031452455766,13.713489464584805,5,1-31,3.659209547280083,1.9386785887630165,-0.1575419878709603
Trentino-Alto Adige,area,mean,30,30,6.018000296015927,7.526045837957969,9.258865206746291,9.070476430514805,5,1-31,3.0524761344988782,1.5444305925568367,-0.18838877623148598
Trentino-Alto Adige,area,min,30,30,1.6280661865791974,2.8250295061548423,3.844868898861734,3.755913541081094,5,1-31,2.1278473545018968,0.9308840349262519,-0.08895535778063968
Trentino-Alto Adige,pop,max,30,30,12.983369282668075,14.680024136504104,16.84731735246717,16.432569905861968,5,1-31,3.4492006231938923,1.752545769357864,-0.414747446605201
Trentino-Alto Adige,pop,mean,30,30,8.893081571729912,10.43230350323796,12.264250167041682,11.900099798110691,5,1-31,3.0070182263807794,1.4677962948727306,-0.36415036893099106
Trentino-Alto Adige,pop,min,30,30,4.39754839798078,5.739333588937679,6.856167091237124,6.691962197960344,5,1-31,2.294413799979564,0.952628609022665,-0.16420489327677945
Umbria,area,max,30,30,19.106992712830994,20.172077783767502,23.864362131331912,20.9442767959216,5,1-31,1.837284083090605,0.7721990121540969,-2.920085335410313
Umbria,area,mean,30,30,14.251330002181135,15.196149018245707,18.16321994556161,15.996258268104086,5,1-31,1.744928265922951,0.8001092498583784,-2.1669616774575253
Umbria,area,min,30,30,9.225037159329469,9.946207083295034,12.088972950331181,10.58951873836582,5,1-31,1.364481579036351,0.6433116550707858,-1.4994542119653609
Umbria,pop,max,30,30,19.607688176995257,20.723326873529846,24.493465050289764,21.512064291193564,5,1-31,1.9043761141983069,0.7887374176637181,-2.9814007590962
Umbria,pop,mean,30,30,14.658914343480655,15.626752296402323,18.621400387260067,16.413666463290934,5,1-31,1.754752119810279,0.7869141668886108,-2.2077339239691334
Umbria,pop,min,30,30,9.476254129248083,10.180022085375995,12.234024452998286,10.750911511530642,5,1-31,1.2746573822825589,0.5708894261546469,-1.4831129414676436
Valle d'Aosta,area,max,30,30,6.067720405164529,7.720089429469905,9.182655394441586,9.586994680221109,5,1-31,3.5192742750565795,1.8669052507512038,0.40433928577952294
Valle d'Aosta,area,mean,30,30,2.7233344850767622,4.165118613304432,5.39775434089945,5.655338413473233,5,1-31,2.9320039283964707,1.4902198001688012,0.257584072573783
Valle d'Aosta,area,min,30,30,-0.9569002392043158,0.15177637477433212,0.9506676012622065,1.1961643455795339,5,1-31,2.1530645847838494,1.0443879708052017,0.24549674431732738
Valle d'Aosta,pop,max,30,30,7.726487357755336,9.522369248397458,11.018131127976883,11.77601498936971,5,1-31,4.049527631614374,2.2536457409722512,0.7578838613928269
Valle d'Aosta,pop,mean,30,30,4.412506144382622,5.951987245347707,7.1943253096710436,7.778468935781957,5,1-31,3.365962791399335,1.8264816904342496,0.5841436261109134
Valle d'Aosta,pop,min,30,30,0.7594304505957243,1.9321087288818755,2.7425697613472546,3.2728375245429184,5,1-31,2.513407073947194,1.340728795661043,0.5302677631956638
Veneto,area,max,30,30,17.863839393096722,19.33200679221188,22.141214564228576,20.675451309953345,5,1-31,2.8116119168566236,1.3434445177414638,-1.465763254275231
Veneto,area,mean,30,30,13.642055015883672,14.977904302301535,16.992716208548828,15.979543279453603,5,1-31,2.337488263569931,1.0016389771520675,-1.0131729290952247
Veneto,area,min,30,30,8.719547141470647,9.917598130514897,10.723047962580683,10.370147857130036,5,1-31,1.6506007156593885,0.45254972661513904,-0.3529001054506473
Veneto,pop,max,30,30,19.723980325913406,21.138532269640375,24.01152059608154,22.463711461786378,5,1-31,2.7397311358729723,1.3251791921460025,-1.5478091342951608
Veneto,pop,mean,30,30,15.451500073686088,16.729471953703566,18.724457389169725,17.774247025172798,5,1-31,2.3227469514867103,1.0447750714692319,-0.950210363996927
Veneto,pop,min,30,30,10.380554744622046,11.539505216438462,12.235475965342603,12.034635320526236,5,1-31,1.6540805759041906,0.49513010408777447,-0.20084064481636688
Abruzzo,area,max,30,30,20.898967569483386,22.521647167925522,25.853000463164463,25.977873800586007,6,1-30,5.078906231102621,3.456226632660485,0.12487333742154405
Abruzzo,area,mean,30,30,16.392699381728185,17.82817010926496,20.721945015982477,20.90364564881038,6,1-30,4.510946267082193,3.075475539545419,0.1817006328279014
Abruzzo,area,min,30,30,11.271227971063539,12.398475545612483,14.782691966242952,15.024914820976063,6,1-30,3.7536868499125244,2.6264392753635804,0.2422228547331109
Abruzzo,pop,max,30,30,22.64917776168388,24.324509624918505,27.83510506057593,27.806459457560333,6,1-30,5.157281695876453,3.4819498326418277,-0.028645603015597487
Abruzzo,pop,mean,30,30,18.424617207990416,19.914227560235865,22.96708070138143,22.962129281801644,6,1-30,4.537512073811229,3.047901721565779,-0.004951419579786176
Abruzzo,pop,min,30,30,13.435762397980811,14.59824828600818,17.04630513140147,17.162882033630773,6,1-30,3.727119635649961,2.564633747622592,0.11657690222930128
Basilicata,area,max,30,30,24.58247505299818,26.151645576722135,28.759548516209477,29.4582293786338,6,1-30,4.875754325635619,3.306583801911664,0.6986808624243217
Basilicata,area,mean,30,30,19.26470471829514,20.665160777896684,23.147106898678206,23.850227312125902,6,1-30,4.585522593830763,3.185066534229218,0.7031204134476958
Basilicata,area,min,30,30,13.537738858059985,14.67953899223763,16.792981769405152,17.51068718550883,6,1-30,3.9729483274488437,2.831148193271199,0.7177054161036764
Basilicata,pop,max,30,30,24.494655524652867,26.040236392673243,28.68797320069538,29.372902348410012,6,1-30,4.878246823757145,3.3326659557367684,0.6849291477146302
Basilicata,pop,mean,30,30,19.260762147304025,20.651905664211988,23.179635259963927,23.870185429174864,6,1-30,4.609423281870839,3.218279764962876,0.6905501692109368
Basilicata,pop,min,30,30,13.652831924531041,14.812673753810525,17.005609959082392,17.7252646858663,6,1-30,4.072432761335259,2.9125909320557746,0.719654726783908
Calabria,area,max,30,30,23.53319740142316,24.616812222428603,26.863835157334666,27.243878962301338,6,1-30,3.7106815608781787,2.6270667398727348,0.38004380496667167
Calabria,area,mean,30,30,19.581890357526706,20.589864740223614,22.732973429470537,23.218822073708242,6,1-30,3.636931716181536,2.628957333484628,0.4858486442377057
Calabria,area,min,30,30,15.478635894666905,16.359376334574705,18.3685243284968,18.815214437237252,6,1-30,3.336578542570347,2.455838102662547,0.44669010874045156
Calabria,pop,max,30,30,23.93572426099672,25.028105581135705,27.287400803769213,27.682978120546558,6,1-30,3.7472538595498364,2.654872539410853,0.3955773167773451
Calabria,pop,mean,30,30,20.101551906473166,21.12710718219094,23.300872940759756,23.781793638174676,6,1-30,3.6802417317015106,2.654686455983736,0.48092069741491983
Calabria,pop,min,30,30,16.140125700034726,17.042327355018095,19.113575492714592,19.54999685527772,6,1-30,3.4098711552429926,2.507669500259624,0.43642136256312725
Campania,area,max,30,30,23.182998833950478,24.789468069813367,28.23474385759728,28.634387425020734,6,1-30,5.4513885910702555,3.8449193552073666,0.3996435674234533
Campania,area,mean,30,30,18.73827684097205,20.139268540025007,23.14864533433516,23.519869154967534,6,1-30,4.7815923139954855,3.3806006149425265,0.37122382063237325
Campania,area,min,30,30,13.954059551084178,15.066853525650698,17.606086502658652,17.89308046554069,6,1-30,3.9390209144565134,2.8262269398899935,0.2869939628820397
Campania,pop,max,30,30,23.57653232484334,25.13117015417163,28.795674394937123,28.69936032202536,6,1-30,5.122827997182021,3.5681901678537287,-0.0963140729117633
Campania,pop,mean,30,30,19.82184464130064,21.200003570701607,24.400032059124534,24.38994722723115,6,1-30,4.568102585930511,3.189943656529543,-0.010084831893383495
Campania,pop,min,30,30,15.674728053095695,16.809012390778378,19.551395638602088,19.60597779414631,6,1-30,3.931249741050614,2.796965403367931,0.05458215554422097
Emilia-Romagna,area,max,30,30,23.555097075618015,25.55797004936799,29.848905816496657,29.75146667588741,6,1-30,6.196369600269396,4.193496626519419,-0.09743914060924652
Emilia-Romagna,area,mean,30,30,18.903111492466206,20.713394301093537,24.52075253964338,24.554925287592216,6,1-30,5.65181379512601,3.841530986498679,0.03417274794883696
Emilia-Romagna,area,min,30,30,13.854415018221195,15.422602730487025,18.758638378924385,18.856576490430772,6,1-30,5.002161472209577,3.433973759943747,0.09793811150638732
Emilia-Romagna,pop,max,30,30,24.888073252416085,26.95439414761454,31.193472563741807,31.208205975386342,6,1-30,6.320132722970257,4.253811827771802,0.01473341164453501
Emilia-Romagna,pop,mean,30,30,20.02093678264167,21.89173210713226,25.71760503084546,25.814823966941468,6,1-30,5.793887184299798,3.923091859809208,0.0972189360960094
Emilia-Romagna,pop,min,30,30,14.693637757885424,16.298831518675453,19.694158695697695,19.809782164612106,6,1-30,5.116144406726681,3.510950645936653,0.11562346891441067
Friuli-Venezia Giulia,area,max,30,30,19.86666732572483,21.590392481790776,25.958584123835422,24.584701319501853,6,1-30,4.7180339937770235,2.9943088377110776,-1.3738828043335687
Friuli-Venezia Giulia,area,mean,30,30,15.795777837462595,17.429516764166568,21.129917527485187,20.18534332861386,6,1-30,4.3895654911512665,2.7558265644472932,-0.9445741988713259
Friuli-Venezia Giulia,area,min,30,30,11.025373319251717,12.41138849247683,15.335537781947155,14.639475115720256,6,1-30,3.614101796468539,2.228086623243426,-0.6960626662268989
Friuli-Venezia Giulia,pop,max,30,30,21.927890794240014,23.74323944828381,28.47197578257267,26.866769436086003,6,1-30,4.938878641845989,3.1235299878021934,-1.6052063464866677
Friuli-Venezia Giulia,pop,mean,30,30,18.014917622078865,19.66970862562389,23.743880183613392,22.555420429886798,6,1-30,4.540502807807933,2.8857118042629075,-1.188459753726594
