anno,settore,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2018,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",694620,36120165,30437321,215735404,15272879504,21987.388074054878,422.8352640138825,501.7813329891944,26092.62931543811,17905618772.074436,25777.574460963453,495.7236151073627,588.2784089990848,30590.477267952414,anno_intero
2018,Sanita' e assistenza sociale,462369,24043140,20845981,143830514,10080369501,21801.568662691487,419.2617728383231,483.56417004313687,25145.336842243116,11818023793.043095,25559.72349582929,491.53412545296055,566.9209711475365,29479.890499671896,anno_intero
2018,Servizi di informazione e comunicazione,334997,17419842,16545986,104240238,12862066477,38394.57212154139,738.3572409554575,777.3526749629789,40422.3390980749,15079229748.25563,45013.02921595008,865.6352766147724,911.3527443003777,47390.342703619644,anno_intero
2018,Trasporto e magazzinaggio,635328,33037019,31739429,197491956,20088715331,31619.43961386874,608.066827427741,632.926173025986,32912.160997351275,23551608473.26836,37069.999233889204,712.8853990509363,742.0299991303675,38585.55995477911,anno_intero
2019,Altre attivita' di servizi,248682,12931434,11142377,77313626,5796915321,23310.554527468816,448.2809347362404,520.2584081475613,27053.43722367319,6763067874.499999,27195.646948713616,522.994423858947,606.96814283882145,31562.343427618718,anno_intero
2019,"Attivita' artistiche, sportive, di intrattenimento e divertimento",67840,3527676,3132741,21081634,2043543613,30122.989578419812,579.2889179731925,652.3180859828501,33920.54047110821,2384134215.1666665,35143.487841489776,675.8370709687244,761.0377669799917,39573.96388295957,anno_intero
2019,Attivita' dei servizi di alloggio e di ristorazione,438730,22813898,17913298,136168649,8207533582,18707.482009436328,359.760247109021,458.18104416060066,23825.414296351235,9575455845.666666,21825.39567767571,419.7202882938578,534.5445515207007,27796.316679076437,anno_intero
2019,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",28987,1507322,1318428,9023654,526453774,18161.719874426468,349.26430716197336,399.3041516108578,20763.815883764604,614196069.6666666,21188.673186830878,407.4750250223022,465.85484354600067,24224.451864392035,anno_intero
2019,Attivita' finanziarie e assicurative,442013,22984674,22181928,137456673,23135749032,52341.78413757061,1006.5728594627881,1042.9999156069753,54235.995611562714,26991707203.999996,61065.4148271657,1174.335002706586,1216.8332348748042,63275.328213489825,anno_intero
2019,Attivita' immobiliari,32186,1673672,1391869,10021457,981818691,30504.526533275337,586.6255102552949,705.3959036374831,36680.586989149124,1145455139.4999998,35588.61428882122,684.3964286311773,822.9618875770635,42794.0181540073,anno_intero
2019,Attivita' manifatturiere,2694124,140094420,135293060,837541076,93360104956,34653.23235159183,666.4084476455237,690.0583441308816,35883.03389480584,108920122448.66666,40428.771076857134,777.4765222531108,805.068068152695,41863.53954394014,anno_intero
2019,"Attivita' professionali, scientifiche e tecniche",333847,17360017,15473525,103920676,10238319829,30667.700560436366,589.7643895740424,661.666932970994,34406.68051449169,11944706467.166666,35778.98398717576,688.0584545030493,771.9447551328262,40141.127266906966,anno_intero
2019,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",1499718,77985243,68849280,466612320,41630117441,27758.6302498203,533.8204490944524,604.6558139896307,31442.102327460798,48568470347.83333,32385.068624790347,622.7905239435278,705.4317829879024,36682.45271537093,anno_intero
2019,Costruzioni,370712,19277010,18408972,114993006,10294232023,27768.81250944129,534.0160130123915,559.1964626270277,29078.21605660544,12009937360.166666,32396.9479276815,623.0186818477899,652.3958730648656,33924.58539937301,anno_intero
