"week_number","date","Cipro","Grecia","Turchia","Spagna","Portogallo","Italia","Serbia","Croazia","Francia","Slovenia","Romania","Ungheria","Austria","Slovacchia","Cechia","Germania","Belgio","Polonia","Paesi Bassi","Irlanda","Danimarca","Lituania","Lettonia","Finlandia","Norvegia","Islanda","UE-27"
32,2025-08-04,26.9780021695529,10.5734743219722,5.3932131173038,21.2801228330588,20.4242608681409,26.3019685865335,8.57366103899059,20.6175952099672,36.6171388619947,21.8386471982955,1.56331503062622,8.69146277219047,19.2793151420309,17.5426484451726,18.2268595809533,12.3784293408353,19.7787026135762,8.48861980521147,23.7923371938592,9.91126973879913,15.1669622338196,7.11251363096108,6.48995766938345,15.9881655770587,22.0645159027207,18.6761677027735,18.7992013237777
33,2025-08-11,39.5881663124299,17.1818809781609,6.04395347046547,24.1296781842879,25.8861870926607,40.0072133271882,7.91519195092273,16.4047660242747,40.266734169548,20.5087450567604,2.28399285667152,8.84524147794426,19.0882601270438,16.1465666729764,15.8356796153713,11.9595768666017,17.4147949228542,8.93857422312803,27.9663587023338,8.85524219821718,10.5428888505926,8.0825777304701,6.1578911021853,11.0059989462333,12.2964672915469,11.6946322751352,20.7895971902962
34,2025-08-18,23.3700272672823,10.5660912677766,9.88642375662843,22.3657589615489,26.1275273204719,27.9355089250905,6.78759650751891,12.6309492919102,31.1273515630273,13.6042855452269,1.67164373340496,9.38783986533878,15.6312149652161,12.4484909574635,13.1029818072433,11.8411693750332,13.8901039973131,5.87526916452481,26.0030914471787,7.39671529401986,8.16431203402856,6.32654881225797,6.26117240749103,9.01524447046693,9.20514048052407,9.42718694205309,17.0047892698361
35,2025-08-25,11.328955597739,4.49491569187611,7.27954222090836,15.4655555045823,19.2549016541382,14.4994270440698,5.0913057745641,6.819901355402,16.8277092973186,8.75753871767142,1.34252431766926,3.09836716827196,12.7744630658777,12.5545356340574,8.08941218691083,10.4026523903401,8.81653868496913,4.50709622664494,17.6862289728987,4.45658491660686,7.16432093892164,4.24150631974557,4.31050784234253,7.37710932230802,8.26931855100115,7.25418680017658,11.1611776086194
36,2025-09-01,3.90450476060184,1.90163604130837,2.97438455891608,7.95416673139487,9.68168127393837,6.29591554502613,4.39231922356543,5.16949242103987,8.78067386971018,7.40271279822346,0.744579286196693,2.10443115709666,10.0901525824174,3.94220783736435,4.87275396166442,9.18366109509006,6.3555759090912,3.05586874822475,10.0824588658756,4.0107066104272,6.71422382873567,4.001951450952,4.54119508685952,7.12950947334068,8.39794896019419,6.56640855429074,7.03232588010724
37,2025-09-08,2.89279010006959,1.0361735715577,7.16519428438618,5.92025358299486,7.51799471549611,3.67435346176838,3.12798941137225,5.21464217854604,7.18330445815812,5.63467035127778,0.797162728587986,1.85182641758337,7.04217304617344,3.10987641903503,4.38645025754111,7.84018141446932,4.60885150023418,3.14108607882887,8.48914966432507,3.69424127091356,5.81667227852062,3.55361934722485,4.25258826023847,6.17772182000364,8.03741672446127,7.21862751138822,5.68341219152986
38,2025-09-15,2.63240451410405,0.954480018928787,2.51926592680008,5.14534279548626,5.67350952138579,3.36238424948747,3.72426323687664,4.62259595669836,6.70369618427672,6.29735752928096,0.68297332580984,1.6138854108127,7.24960941461111,3.27668330984887,3.97737612621498,7.08738835941744,4.9578487020683,3.0853626578172,8.9601320614737,3.68532523198872,5.9253746812602,3.74375725437793,3.4467533260211,6.78449608458169,8.07394536599174,6.66496424923391,5.30307536417105
39,2025-09-22,3.26546848583898,0.876347946368925,4.36832695585162,4.75657979322158,5.44076815164552,3.14853071188275,2.91842615819328,4.43124266303841,5.91521130711518,7.39823355053593,1.07175769512151,1.63549779640712,6.81683470527051,2.2550727942176,4.13632468865127,7.39873859133802,4.69862623589389,2.6707205392575,7.41066226446133,3.57780170530656,5.82335706976208,3.16746276717992,3.61580271249811,6.56353426877363,7.79823115429841,7.25737961287836,5.05829310911151
40,2025-09-29,1.77680330015529,0.898331918901805,0.88191308686896,3.1651378159694,3.36224696859222,2.01548443679132,1.59490736944524,3.0818873647427,4.12732570721411,2.86871566235264,0.518433865116729,1.6889477009896,4.38878055983729,2.22973911388298,2.62011547685647,6.06637508792983,3.05562048589948,1.7162268885666,4.42387497013694,2.97407201797586,4.52222872958782,1.32376909220429,2.79235197624085,3.40882523707851,7.20703915659993,2.80350453450463,3.60027415750505
41,2025-10-06,2.35198598474397,0.741183457360497,0.553692270962129,2.87324088939828,2.17043820797256,1.74599142086604,0.76793277403664,2.01886088821165,4.18284058536966,2.5256231441812,0.45873344238561,1.69841780207827,4.11441817650377,2.27994360528478,2.39397073043861,5.23399791157064,2.538926134082,1.20741596576669,3.24153794651188,2.67361383682763,4.05631071121173,1.307907340912,1.59161082354849,2.98823669149668,5.48823661738545,3.68419999385178,3.10461536274685
