"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2019-2023 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
" ";"2022";"Totale";"";"256.669 ";"9.595.963 ";"586.867.465 ";"1.865.927 ";"2.531.232 ";"220.446 ";"26.238.722 ";"1.634.819.156 ";"4.485.706 ";"5.730.296 ";"550.061 ";"131.679.574 ";"8.735.052.855 ";"21.278.630 ";"25.059.029 ";"786.707 ";"244.134.972 ";"19.270.681.795 ";"38.020.480 ";"40.908.748 ";"1.813.883 ";"411.649.231 ";"30.227.421.271 ";"65.650.744 ";"74.229.305 "
" ";"2023";"Maschi";"";"129.522 ";"4.916.515 ";"327.434.535 ";"971.725 ";"1.243.950 ";"110.603 ";"13.163.154 ";"902.423.830 ";"2.332.110 ";"2.839.047 ";"297.139 ";"71.626.956 ";"5.246.758.337 ";"12.151.034 ";"13.644.910 ";"512.930 ";"159.280.980 ";"13.870.836.822 ";"25.472.235 ";"26.672.348 ";"1.050.194 ";"248.987.605 ";"20.347.453.524 ";"40.927.104 ";"44.400.255 "
" ";" ";"Femmine";"";"125.037 ";"4.613.436 ";"268.203.863 ";"888.651 ";"1.276.482 ";"104.321 ";"12.396.176 ";"724.791.493 ";"2.027.596 ";"2.741.762 ";"243.357 ";"57.667.564 ";"3.566.009.536 ";"8.783.215 ";"10.947.143 ";"347.194 ";"107.877.144 ";"8.032.036.487 ";"16.240.722 ";"18.054.077 ";"819.909 ";"182.554.320 ";"12.591.041.379 ";"27.940.184 ";"33.019.464 "
" ";"2023";"Totale";"";"254.559 ";"9.529.951 ";"595.638.398 ";"1.860.376 ";"2.520.432 ";"214.924 ";"25.559.330 ";"1.627.215.323 ";"4.359.706 ";"5.580.809 ";"540.496 ";"129.294.520 ";"8.812.767.873 ";"20.934.249 ";"24.592.053 ";"860.124 ";"267.158.124 ";"21.902.873.309 ";"41.712.956 ";"44.726.425 ";"1.870.103 ";"431.541.925 ";"32.938.494.903 ";"68.867.288 ";"77.419.719 "
"30  - 34";"2019";"Maschi";"";"105.676 ";"3.978.596 ";"256.818.658 ";"761.607 ";"996.244 ";"88.745 ";"10.631.670 ";"704.674.488 ";"1.846.772 ";"2.303.658 ";"256.912 ";"62.421.039 ";"4.492.495.158 ";"10.450.868 ";"11.932.174 ";"575.602 ";"178.821.338 ";"16.238.402.517 ";"28.560.978 ";"29.931.292 ";"1.026.935 ";"255.852.643 ";"21.692.390.821 ";"41.620.225 ";"45.163.368 "
" ";" ";"Femmine";"";"115.108 ";"4.371.942 ";"242.781.264 ";"830.813 ";"1.237.832 ";"99.393 ";"11.964.773 ";"663.626.320 ";"1.940.598 ";"2.721.698 ";"236.450 ";"56.030.613 ";"3.315.121.917 ";"8.284.890 ";"10.730.171 ";"365.917 ";"113.748.586 ";"8.438.123.779 ";"16.604.489 ";"19.027.675 ";"816.868 ";"186.115.914 ";"12.659.653.280 ";"27.660.791 ";"33.717.376 "
" ";"2019";"Totale";"";"220.784 ";"8.350.538 ";"499.599.922 ";"1.592.421 ";"2.234.076 ";"188.138 ";"22.596.443 ";"1.368.300.808 ";"3.787.370 ";"5.025.356 ";"493.362 ";"118.451.652 ";"7.807.617.075 ";"18.735.758 ";"22.662.345 ";"941.519 ";"292.569.924 ";"24.676.526.296 ";"45.165.467 ";"48.958.967 ";"1.843.803 ";"441.968.557 ";"34.352.044.101 ";"69.281.015 ";"78.880.744 "
" ";"2020";"Maschi";"";"126.235 ";"5.115.534 ";"328.367.752 ";"960.432 ";"1.272.421 ";"112.167 ";"13.281.063 ";"866.313.636 ";"2.388.816 ";"3.045.909 ";"431.395 ";"106.633.320 ";"8.225.622.701 ";"18.821.896 ";"20.743.457 ";"338.402 ";"104.910.756 ";"10.388.149.082 ";"17.043.971 ";"17.596.895 ";"1.008.199 ";"229.940.673 ";"19.808.453.171 ";"39.215.115 ";"42.658.682 "
" ";" ";"Femmine";"";"140.417 ";"5.796.375 ";"324.452.747 ";"1.074.727 ";"1.609.647 ";"121.451 ";"14.319.357 ";"783.240.013 ";"2.344.778 ";"3.398.280 ";"339.460 ";"80.519.774 ";"5.037.011.678 ";"12.542.810 ";"15.855.559 ";"196.832 ";"61.076.920 ";"5.127.107.437 ";"9.309.734 ";"10.235.262 ";"798.160 ";"161.712.426 ";"11.271.811.875 ";"25.272.049 ";"31.098.748 "
" ";"2020";"Totale";"";"266.652 ";"10.911.909 ";"652.820.499 ";"2.035.159 ";"2.882.068 ";"233.618 ";"27.600.420 ";"1.649.553.649 ";"4.733.595 ";"6.444.189 ";"770.855 ";"187.153.094 ";"13.262.634.379 ";"31.364.706 ";"36.599.016 ";"535.234 ";"165.987.676 ";"15.515.256.519 ";"26.353.705 ";"27.832.157 ";"1.806.359 ";"391.653.099 ";"31.080.265.046 ";"64.487.165 ";"73.757.430 "
