geo,tassazione,anno,prezzo_eur_kwh
IT,X_TAX,2017.5,0.0712
IT,X_TAX,2018,0.0722
IT,X_TAX,2018.5,0.0781
IT,X_TAX,2019,0.0835
IT,X_TAX,2019.5,0.0826
IT,X_TAX,2020,0.072
IT,X_TAX,2020.5,0.076
IT,X_TAX,2021,0.0821
IT,X_TAX,2021.5,0.1299
IT,X_TAX,2022,0.2212
IT,X_TAX,2022.5,0.2959
IT,X_TAX,2023,0.1944
IT,X_TAX,2023.5,0.1631
IT,X_TAX,2024,0.1347
IT,X_TAX,2024.5,0.1499
IT,X_TAX,2025,0.1482
IT,X_TAX,2025.5,0.1463
