nace_r2,unit,anno,valore
C16,CP_MEUR,2013,4812.1
C16,CP_MEUR,2014,4697.7
C16,CP_MEUR,2015,4651.1
C16,CP_MEUR,2016,4749.3
C16,CP_MEUR,2017,4740.5
C16,CP_MEUR,2018,4813.8
C16,CP_MEUR,2019,4563.8
C16,CP_MEUR,2020,3987.8
C16,CP_MEUR,2021,4943.2
C16,CP_MEUR,2022,5698.8
C16,CP_MEUR,2023,5856.1
C16,CP_MEUR,2024,NA
C16,CP_MEUR,2025,NA
C16-C18,CLV15_MEUR,1975,NA
C16-C18,CLV15_MEUR,1976,NA
C16-C18,CLV15_MEUR,1977,NA
C16-C18,CLV15_MEUR,1978,NA
C16-C18,CLV15_MEUR,1979,NA
C16-C18,CLV15_MEUR,1980,NA
C16-C18,CLV15_MEUR,1981,NA
C16-C18,CLV15_MEUR,1982,NA
C16-C18,CLV15_MEUR,1983,NA
C16-C18,CLV15_MEUR,1984,NA
C16-C18,CLV15_MEUR,1985,NA
C16-C18,CLV15_MEUR,1986,NA
C16-C18,CLV15_MEUR,1987,NA
C16-C18,CLV15_MEUR,1988,NA
C16-C18,CLV15_MEUR,1989,NA
C16-C18,CLV15_MEUR,1990,NA
C16-C18,CLV15_MEUR,1991,NA
C16-C18,CLV15_MEUR,1992,NA
C16-C18,CLV15_MEUR,1993,NA
C16-C18,CLV15_MEUR,1994,NA
C16-C18,CLV15_MEUR,1995,16412.7
C16-C18,CLV15_MEUR,1996,16550.7
C16-C18,CLV15_MEUR,1997,16399.7
C16-C18,CLV15_MEUR,1998,17099.7
C16-C18,CLV15_MEUR,1999,17670.4
C16-C18,CLV15_MEUR,2000,18041.7
C16-C18,CLV15_MEUR,2001,18515.1
C16-C18,CLV15_MEUR,2002,17950.9
C16-C18,CLV15_MEUR,2003,17557.7
C16-C18,CLV15_MEUR,2004,17805.6
C16-C18,CLV15_MEUR,2005,17126.5
C16-C18,CLV15_MEUR,2006,17754.7
C16-C18,CLV15_MEUR,2007,17972.7
C16-C18,CLV15_MEUR,2008,16895.4
C16-C18,CLV15_MEUR,2009,14988.5
C16-C18,CLV15_MEUR,2010,15699.7
C16-C18,CLV15_MEUR,2011,16048.7
C16-C18,CLV15_MEUR,2012,15302.2
C16-C18,CLV15_MEUR,2013,14443.3
C16-C18,CLV15_MEUR,2014,14258.3
C16-C18,CLV15_MEUR,2015,13745.1
C16-C18,CLV15_MEUR,2016,14388.8
C16-C18,CLV15_MEUR,2017,14402.3
C16-C18,CLV15_MEUR,2018,14316
C16-C18,CLV15_MEUR,2019,14364.2
C16-C18,CLV15_MEUR,2020,12158
C16-C18,CLV15_MEUR,2021,13610.1
C16-C18,CLV15_MEUR,2022,13596
C16-C18,CLV15_MEUR,2023,12796.8
C16-C18,CLV15_MEUR,2024,12272.2
C16-C18,CLV15_MEUR,2025,12166.3
C16-C18,CP_MEUR,1975,NA
C16-C18,CP_MEUR,1976,NA
C16-C18,CP_MEUR,1977,NA
C16-C18,CP_MEUR,1978,NA
C16-C18,CP_MEUR,1979,NA
C16-C18,CP_MEUR,1980,NA
C16-C18,CP_MEUR,1981,NA
C16-C18,CP_MEUR,1982,NA
C16-C18,CP_MEUR,1983,NA
C16-C18,CP_MEUR,1984,NA
C16-C18,CP_MEUR,1985,NA
C16-C18,CP_MEUR,1986,NA
C16-C18,CP_MEUR,1987,NA
C16-C18,CP_MEUR,1988,NA
C16-C18,CP_MEUR,1989,NA
C16-C18,CP_MEUR,1990,NA
C16-C18,CP_MEUR,1991,NA
C16-C18,CP_MEUR,1992,NA
C16-C18,CP_MEUR,1993,NA
C16-C18,CP_MEUR,1994,NA
C16-C18,CP_MEUR,1995,13673.5
C16-C18,CP_MEUR,1996,15068
C16-C18,CP_MEUR,1997,15061.2
C16-C18,CP_MEUR,1998,16037.7
C16-C18,CP_MEUR,1999,16416.5
C16-C18,CP_MEUR,2000,16995.2
C16-C18,CP_MEUR,2001,18181
C16-C18,CP_MEUR,2002,18090.2
C16-C18,CP_MEUR,2003,17442.4
C16-C18,CP_MEUR,2004,17731.3
C16-C18,CP_MEUR,2005,17173.8
C16-C18,CP_MEUR,2006,17537.5
C16-C18,CP_MEUR,2007,18000.9
C16-C18,CP_MEUR,2008,17265.8
C16-C18,CP_MEUR,2009,15463.5
C16-C18,CP_MEUR,2010,15559.8
C16-C18,CP_MEUR,2011,15601.4
C16-C18,CP_MEUR,2012,14510.7
C16-C18,CP_MEUR,2013,13788.8
C16-C18,CP_MEUR,2014,13948.2
C16-C18,CP_MEUR,2015,13745.1
C16-C18,CP_MEUR,2016,14696.9
C16-C18,CP_MEUR,2017,14866.2
C16-C18,CP_MEUR,2018,15003.1
C16-C18,CP_MEUR,2019,14900.6
C16-C18,CP_MEUR,2020,13441.4
C16-C18,CP_MEUR,2021,14658.6
C16-C18,CP_MEUR,2022,16729.2
C16-C18,CP_MEUR,2023,17935.5
C16-C18,CP_MEUR,2024,17275.8
C16-C18,CP_MEUR,2025,17883
C17,CLV15_MEUR,1975,NA
C17,CLV15_MEUR,1976,NA
C17,CLV15_MEUR,1977,NA
C17,CLV15_MEUR,1978,NA
C17,CLV15_MEUR,1979,NA
C17,CLV15_MEUR,1980,NA
C17,CLV15_MEUR,1981,NA
C17,CLV15_MEUR,1982,NA
C17,CLV15_MEUR,1983,NA
C17,CLV15_MEUR,1984,NA
C17,CLV15_MEUR,1985,NA
C17,CLV15_MEUR,1986,NA
C17,CLV15_MEUR,1987,NA
C17,CLV15_MEUR,1988,NA
C17,CLV15_MEUR,1989,NA
C17,CLV15_MEUR,1990,NA
C17,CLV15_MEUR,1991,NA
C17,CLV15_MEUR,1992,NA
C17,CLV15_MEUR,1993,NA
C17,CLV15_MEUR,1994,NA
C17,CLV15_MEUR,1995,3906.1
C17,CLV15_MEUR,1996,4026.4
C17,CLV15_MEUR,1997,4327
C17,CLV15_MEUR,1998,4569.5
C17,CLV15_MEUR,1999,4744.9
C17,CLV15_MEUR,2000,4621.1
C17,CLV15_MEUR,2001,4686.9
C17,CLV15_MEUR,2002,4690.2
C17,CLV15_MEUR,2003,4720.3
C17,CLV15_MEUR,2004,5007
C17,CLV15_MEUR,2005,5083.8
C17,CLV15_MEUR,2006,5233.4
C17,CLV15_MEUR,2007,5167.6
C17,CLV15_MEUR,2008,5023.6
C17,CLV15_MEUR,2009,5106.2
C17,CLV15_MEUR,2010,5323.9
C17,CLV15_MEUR,2011,5272.5
C17,CLV15_MEUR,2012,5624
C17,CLV15_MEUR,2013,5368.4
C17,CLV15_MEUR,2014,5331.9
C17,CLV15_MEUR,2015,5008.8
C17,CLV15_MEUR,2016,5123.2
C17,CLV15_MEUR,2017,5340.4
C17,CLV15_MEUR,2018,5197.4
C17,CLV15_MEUR,2019,5582.1
C17,CLV15_MEUR,2020,4979.8
C17,CLV15_MEUR,2021,5380.2
C17,CLV15_MEUR,2022,4911.8
C17,CLV15_MEUR,2023,4798.6
C17,CLV15_MEUR,2024,NA
C17,CLV15_MEUR,2025,NA
C17,CP_MEUR,1975,NA
C17,CP_MEUR,1976,NA
C17,CP_MEUR,1977,NA
C17,CP_MEUR,1978,NA
C17,CP_MEUR,1979,NA
C17,CP_MEUR,1980,NA
C17,CP_MEUR,1981,NA
C17,CP_MEUR,1982,NA
C17,CP_MEUR,1983,NA
