categoria,codice,mese,indice
"Beni intermedi",0040,2015-09,103.2
"Beni intermedi",0040,2015-10,106.2
"Beni intermedi",0040,2015-11,101.1
"Beni intermedi",0040,2015-12,77.3
"Beni intermedi",0040,2016-01,90
"Beni intermedi",0040,2016-02,98.9
"Beni intermedi",0040,2016-03,106.9
"Beni intermedi",0040,2016-04,100.3
"Beni intermedi",0040,2016-05,107.7
"Beni intermedi",0040,2016-06,101.6
"Beni intermedi",0040,2016-07,110.5
"Beni intermedi",0040,2016-08,56.2
"Beni intermedi",0040,2016-09,104.9
"Beni intermedi",0040,2016-10,107
"Beni intermedi",0040,2016-11,103.6
"Beni intermedi",0040,2016-12,82
"Beni intermedi",0040,2017-01,89.5
"Beni intermedi",0040,2017-02,101
"Beni intermedi",0040,2017-03,111.6
"Beni intermedi",0040,2017-04,100.8
"Beni intermedi",0040,2017-05,109.1
"Beni intermedi",0040,2017-06,106.6
"Beni intermedi",0040,2017-07,114.2
"Beni intermedi",0040,2017-08,60.9
"Beni intermedi",0040,2017-09,108.2
"Beni intermedi",0040,2017-10,112.2
"Beni intermedi",0040,2017-11,107.5
"Beni intermedi",0040,2017-12,87.7
"Beni intermedi",0040,2018-01,95.1
"Beni intermedi",0040,2018-02,102.8
"Beni intermedi",0040,2018-03,113.1
"Beni intermedi",0040,2018-04,100.6
"Beni intermedi",0040,2018-05,111.1
"Beni intermedi",0040,2018-06,107.6
"Beni intermedi",0040,2018-07,112.6
"Beni intermedi",0040,2018-08,58.5
"Beni intermedi",0040,2018-09,109.3
"Beni intermedi",0040,2018-10,112.1
"Beni intermedi",0040,2018-11,101.7
"Beni intermedi",0040,2018-12,82.1
"Beni intermedi",0040,2019-01,92.6
"Beni intermedi",0040,2019-02,101.7
"Beni intermedi",0040,2019-03,110.6
"Beni intermedi",0040,2019-04,98.2
"Beni intermedi",0040,2019-05,109.2
"Beni intermedi",0040,2019-06,104.6
"Beni intermedi",0040,2019-07,110.6
"Beni intermedi",0040,2019-08,57.1
"Beni intermedi",0040,2019-09,103.5
"Beni intermedi",0040,2019-10,106.5
"Beni intermedi",0040,2019-11,100.6
"Beni intermedi",0040,2019-12,76.7
"Beni intermedi",0040,2020-01,92.2
"Beni intermedi",0040,2020-02,98.9
"Beni intermedi",0040,2020-03,78.6
