branca,codice,misura,anno,valore_migliaia
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2004,444.1
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2005,440.4
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2006,430.6
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2007,433.7
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2008,419.2
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2009,372.9
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2010,359.6
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2011,349.9
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2012,334.4
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2013,324.9
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2014,315.4
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2015,306.4
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2016,308.2
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2017,308.3
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2018,311
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2019,306.7
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2020,273.5
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2021,304
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2022,307.9
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2023,312.8
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2024,313.8
"Gomma plastica minerali non met.",C22_23,unita_di_lavoro,2025,306.9
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,1995,633.2
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,1996,647.1
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,1997,646.2
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,1998,663.1
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,1999,674.6
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2000,665.5
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2001,673.1
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2002,673.2
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2003,689.6
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2004,680.9
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2005,685.9
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2006,717.3
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2007,732.6
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2008,722.9
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2009,632
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2010,612
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2011,618.7
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2012,589.1
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2013,563
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2014,560.2
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2015,557.4
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2016,569.8
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2017,574.3
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2018,608.5
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2019,601.3
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2020,544.9
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2021,620.6
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2022,635.2
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2023,658.9
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2024,663.1
"Metallurgia e prodotti in metallo",C24_25,unita_di_lavoro,2025,648.7
"Elettronica e ottica",C26,unita_di_lavoro,1995,122.3
"Elettronica e ottica",C26,unita_di_lavoro,1996,119
"Elettronica e ottica",C26,unita_di_lavoro,1997,117.4
"Elettronica e ottica",C26,unita_di_lavoro,1998,116.9
"Elettronica e ottica",C26,unita_di_lavoro,1999,115.7
"Elettronica e ottica",C26,unita_di_lavoro,2000,115.7
