DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289(1.0),A,001184,JAN,9,TOTAL,99,2022-01-01,3094.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001185,JAN,9,TOTAL,99,2022-01-01,525.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001186,JAN,9,TOTAL,99,2022-01-01,583.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001187,JAN,9,TOTAL,99,2022-01-01,752.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001188,JAN,9,TOTAL,99,2022-01-01,608.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001189,JAN,9,TOTAL,99,2022-01-01,15449.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001190,JAN,9,TOTAL,99,2022-01-01,2853.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001191,JAN,9,TOTAL,99,2022-01-01,35440.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001192,JAN,9,TOTAL,99,2022-01-01,8333.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001193,JAN,9,TOTAL,99,2022-01-01,3818.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001194,JAN,9,TOTAL,99,2022-01-01,18087.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001195,JAN,9,TOTAL,99,2022-01-01,3319.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001196,JAN,9,TOTAL,99,2022-01-01,1302.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001197,JAN,9,TOTAL,99,2022-01-01,10179.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001198,JAN,9,TOTAL,99,2022-01-01,971.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001199,JAN,9,TOTAL,99,2022-01-01,3087.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001200,JAN,9,TOTAL,99,2022-01-01,1079.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001201,JAN,9,TOTAL,99,2022-01-01,735.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001202,JAN,9,TOTAL,99,2022-01-01,249.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001203,JAN,9,TOTAL,99,2022-01-01,1899.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001204,JAN,9,TOTAL,99,2022-01-01,222.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001205,JAN,9,TOTAL,99,2022-01-01,1255.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001206,JAN,9,TOTAL,99,2022-01-01,726.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001207,JAN,9,TOTAL,99,2022-01-01,458.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001208,JAN,9,TOTAL,99,2022-01-01,333.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001209,JAN,9,TOTAL,99,2022-01-01,339.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001210,JAN,9,TOTAL,99,2022-01-01,992.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001211,JAN,9,TOTAL,99,2022-01-01,1753.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001212,JAN,9,TOTAL,99,2022-01-01,49.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001213,JAN,9,TOTAL,99,2022-01-01,1158.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001214,JAN,9,TOTAL,99,2022-01-01,20172.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001215,JAN,9,TOTAL,99,2022-01-01,4750.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001216,JAN,9,TOTAL,99,2022-01-01,2496.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001217,JAN,9,TOTAL,99,2022-01-01,12280.0,,,FILTER__ITC1,,,,,,,
