DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:26_295(1.0),A,ITF3,LIFEXP,2,Y0,2014-01-01,83.262,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,9,Y0,2014-01-01,80.859,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,1,Y0,2014-01-01,79.544,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,2,Y0,2014-01-01,84.448,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,9,Y0,2014-01-01,81.937,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,1,Y0,2014-01-01,79.539,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,2,Y0,2014-01-01,83.792,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,9,Y0,2014-01-01,81.615,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,1,Y0,2015-01-01,80.061,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,2,Y0,2015-01-01,84.549,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,9,Y0,2015-01-01,82.253,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,1,Y0,2015-01-01,80.296,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,2,Y0,2015-01-01,84.833,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,9,Y0,2015-01-01,82.512,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,1,Y0,2015-01-01,80.565,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,2,Y0,2015-01-01,85.065,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,9,Y0,2015-01-01,82.763,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,1,Y0,2015-01-01,80.672,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,2,Y0,2015-01-01,85.144,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,9,Y0,2015-01-01,82.857,,,,,,,,,,
