DATAFLOW,LAST UPDATE,freq,unit,wstatus,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,FR,2018-01-01,102.81,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,IT,2018-01-01,119.62,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,UK,2018-01-01,89.83,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,DE,2019-01-01,439.39,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,ES,2019-01-01,440.36,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,FR,2019-01-01,317.03,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,IT,2019-01-01,405.07,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,DE,2019-01-01,85.5,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,FR,2019-01-01,63.29,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,IT,2019-01-01,86.98,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,DE,2019-01-01,66.69,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,ES,2019-01-01,123.33,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,FR,2019-01-01,102.72,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,IT,2019-01-01,125.57,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,DE,2020-01-01,446.79,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,ES,2020-01-01,457.67,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,FR,2020-01-01,318.07,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,IT,2020-01-01,400.08,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,DE,2020-01-01,85.51,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,FR,2020-01-01,63.59,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,IT,2020-01-01,86.93,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,DE,2020-01-01,66.95,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,ES,2020-01-01,131.61,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,FR,2020-01-01,101.84,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,IT,2020-01-01,124.19,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,DE,2021-01-01,453.22,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,IT,2021-01-01,412.51,p,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,IT,2021-01-01,86.05,ep,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,IT,2021-01-01,124.19,ep,
