DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,DE,2019-01-01,45.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,DK,2019-01-01,49.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EA19,2019-01-01,47.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EA20,2019-01-01,47.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EA21,2019-01-01,47.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EE,2019-01-01,39.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EL,2019-01-01,47.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,ES,2019-01-01,42.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EU27_2020,2019-01-01,46.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,FI,2019-01-01,52.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,FR,2019-01-01,55.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,HR,2019-01-01,46.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,HU,2019-01-01,45.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,IE,2019-01-01,23.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,IS,2019-01-01,43.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,IT,2019-01-01,48.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,LT,2019-01-01,34.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,LU,2019-01-01,43.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,LV,2019-01-01,39.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,MT,2019-01-01,34.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,NL,2019-01-01,42.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,NO,2019-01-01,49.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,PL,2019-01-01,41.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,PT,2019-01-01,42.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,RO,2019-01-01,36.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,SE,2019-01-01,49.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,SI,2019-01-01,43.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,SK,2019-01-01,40.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,AT,2020-01-01,57.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,BE,2020-01-01,58.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,BG,2020-01-01,41.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,CH,2020-01-01,38.2,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,CY,2020-01-01,45.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,CZ,2020-01-01,46.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,DE,2020-01-01,51.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,DK,2020-01-01,53.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EA19,2020-01-01,53.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EA20,2020-01-01,53.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EA21,2020-01-01,53.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EE,2020-01-01,44.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EL,2020-01-01,59.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,ES,2020-01-01,51.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EU27_2020,2020-01-01,52.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,FI,2020-01-01,56.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,FR,2020-01-01,61.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,HR,2020-01-01,53.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,HU,2020-01-01,51.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,IE,2020-01-01,26.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,IS,2020-01-01,50.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,IT,2020-01-01,56.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,LT,2020-01-01,42.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,LU,2020-01-01,47.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,LV,2020-01-01,44.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,MT,2020-01-01,42.0,,
