anno,tempo_parziale,sesso,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2020,Si,Femmine,3321445,128756878,75479302,661126523,33120200039,9971.623808011273,257.2305305429975,438.79844091563007,22817.518927612764,38753547846.21994,11667.677124329906,300.982350987261,513.4327798396962,26698.504551664202,complessivo
2020,Si,Maschi,1937954,67608329,40943644,338652184,17045366897,8795.54772559101,252.11933424652457,416.31289332722804,21648.27045301586,19944578861.88563,10291.564640794173,295.0018016550244,487.1227109605982,25330.380969951108,complessivo
2021,No,Femmine,3510504,148933491,148933491,836015203,83312786249,23732.428804809795,559.395913502088,559.395913502088,29088.587502108574,95705763090.262,27262.68452913371,642.6073977562373,642.6073977562373,33415.58468332434,complessivo
2021,No,Maschi,7352733,332401152,332401152,1888353131,216359604826,29425.7393578687,650.8990824014954,650.8990824014954,33846.75228487776,248543615140.80807,33802.88868653439,747.7218825667851,747.7218825667851,38881.53789347282,complessivo
2021,Si,Femmine,3413604,136880534,84380100,734534807,37386181280,10952.114328434112,273.13000751443593,443.0687007955667,23039.57244136947,42947465443.53167,12581.267611454541,313.7587514345296,508.9762330636213,26466.764119308307,complessivo
2021,Si,Maschi,1997836,73315318,46987007,383618946,19824185729,9922.829365873875,270.3962319170463,421.9078207939484,21939.20668128532,22773080919.014397,11398.874041219797,310.61832015806567,484.6676213918966,25202.716312378627,complessivo
2022,No,Femmine,3676492,158674362,158674362,900153914,91024653150,24758.56146293804,573.6569663976339,573.6569663976339,29830.162252676964,96764218313.09947,26319.714095148167,609.828942076348,609.828942076348,31711.104987970095,complessivo
2022,No,Maschi,7653073,350713185,350713185,2008088193,232357856444,30361.37985930619,662.5295722600221,662.5295722600221,34451.537757521146,247009195527.05862,32275.818553809513,704.305415626329,704.305415626329,36623.88161256911,complessivo
2022,Si,Femmine,3586535,148539539,94583693,813849821,42011358552,11713.634065191054,282.8294663820116,444.1712648289172,23096.905771103695,44660387377.21492,12452.237989372728,300.66329596737825,472.17851154548305,24553.28260036512,complessivo
2022,Si,Maschi,2068062,80209821,53470327,430725326,22833298733,11040.915955614484,284.66961337564885,427.0274751265314,22205.42870657963,24273053804.086147,11737.101597575967,302.6194735440956,453.95371911763596,23605.59339411707,complessivo
2023,No,Femmine,3779412,165084026,165084026,939060922,97731065105,25858.8016085571,592.0080063046197,592.0080063046197,30784.416327840223,98554410219.61668,26076.651664231547,596.995436854785,596.995436854785,31043.76271644882,complessivo
2023,No,Maschi,7871718,361249606,361249606,2070145183,246178446658,31273.788854986928,681.463571362345,681.463571362345,35436.10571084194,248252401558.2359,31537.258011305268,687.204629250823,687.204629250823,35734.6407210428,complessivo
2023,Si,Femmine,3652106,152252135,97017558,836835741,44132568700,12084.142327741856,289.8650235676498,454.8925948022728,23654.414929718187,44504367930.83404,12185.946391160069,292.3070203963579,458.72488287979826,23853.693909749512,complessivo
2023,Si,Maschi,2085210,80750420,53710648,434696259,23550046080,11293.848619563498,291.6399206344685,438.4614030350183,22799.992957820952,23748445794.237576,11388.99477474095,294.0968702607067,442.1552648971499,22992.073774651795,complessivo
2024,No,Femmine,3866623,169085664,169085664,963104214,103695054930,26817.989478157037,613.2693480743583,613.2693480743583,31890.00609986663,103695054930,26817.989478157037,613.2693480743583,613.2693480743583,31890.00609986663,complessivo
2024,No,Maschi,8006898,367759654,367759654,2105605457,258807206532,32323.030283637934,703.7400751198227,703.7400751198227,36594.48390623078,258807206532,32323.030283637934,703.7400751198227,703.7400751198227,36594.48390623078,complessivo
2024,Si,Femmine,3720852,155730818,99739215,858116376,46784702363,12573.65312111312,300.4203211916603,469.0702885820788,24391.655006268098,46784702363,12573.65312111312,300.4203211916603,469.0702885820788,24391.655006268098,complessivo
2024,Si,Maschi,2136629,82412900,54773207,444395527,24877412217,11643.2998976425,301.8630847476548,454.189440048672,23617.850882530944,24877412217,11643.2998976425,301.8630847476548,454.189440048672,23617.850882530944,complessivo
