anno,classe_di_eta,tipologia_contrattuale,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2015,25  - 29,Tempo determinato,Oltre 6 e meno di 12 mesi,116505,5047018,4229153,26532840,1694639938
2015,25  - 29,Tempo determinato,Anno intero,38838,2019563,1798317,12023868,839653187
2015,25  - 29,Tempo indeterminato,Fino a 3 mesi,130676,1265870,910007,4715254,264150229
2015,25  - 29,Tempo indeterminato,Oltre 3 e fino a 6 mesi,103415,2802841,2077625,12351840,673943911
2015,25  - 29,Tempo indeterminato,Oltre 6 e meno di 12 mesi,307608,14281476,11608649,74327730,4325387616
2015,25  - 29,Tempo indeterminato,Anno intero,590261,30693274,27907876,183466971,12959126474
2015,30  - 34,Stagionale,Fino a 3 mesi,14482,145678,111987,582649,34814453
2015,30  - 34,Stagionale,Oltre 3 e fino a 6 mesi,17202,414813,354703,1991130,128736907
2015,30  - 34,Stagionale,Oltre 6 e meno di 12 mesi,13329,522715,475961,2691197,200667094
2015,30  - 34,Stagionale,Anno intero,318,16536,14840,98302,6720762
2015,30  - 34,Tempo determinato,Fino a 3 mesi,110570,973892,726082,3869476,227777206
2015,30  - 34,Tempo determinato,Oltre 3 e fino a 6 mesi,74515,1878652,1495461,8884537,553570301
2015,30  - 34,Tempo determinato,Oltre 6 e meno di 12 mesi,115072,4952976,4263019,26189502,1735927769
2015,30  - 34,Tempo determinato,Anno intero,37958,1973797,1772389,11753942,862581437
2015,30  - 34,Tempo indeterminato,Fino a 3 mesi,121584,1228963,887297,4377576,271200479
2015,30  - 34,Tempo indeterminato,Oltre 3 e fino a 6 mesi,106416,2967864,2231087,12777701,756135387
2015,30  - 34,Tempo indeterminato,Oltre 6 e meno di 12 mesi,361036,16974166,14104031,88137174,5623517961
2015,30  - 34,Tempo indeterminato,Anno intero,849515,44174535,40887081,264114250,21899541958
2015,35  - 39,Stagionale,Fino a 3 mesi,12637,128593,99970,515060,31126543
2015,35  - 39,Stagionale,Oltre 3 e fino a 6 mesi,16552,402926,347478,1932222,127866409
2015,35  - 39,Stagionale,Oltre 6 e meno di 12 mesi,12952,503804,460705,2592891,197695883
2015,35  - 39,Stagionale,Anno intero,297,15441,13516,91750,6210770
2015,35  - 39,Tempo determinato,Fino a 3 mesi,98055,860982,655212,3439525,206634333
2015,35  - 39,Tempo determinato,Oltre 3 e fino a 6 mesi,72072,1832116,1504453,8757142,558161684
2015,35  - 39,Tempo determinato,Oltre 6 e meno di 12 mesi,116019,4980237,4379377,26478918,1805212093
2015,35  - 39,Tempo determinato,Anno intero,34766,1807811,1624780,10767071,826406731
2015,35  - 39,Tempo indeterminato,Fino a 3 mesi,112738,1147761,844227,4058020,267598168
2015,35  - 39,Tempo indeterminato,Oltre 3 e fino a 6 mesi,101249,2865921,2188618,12209884,780788734
2015,35  - 39,Tempo indeterminato,Oltre 6 e meno di 12 mesi,401006,19119712,16110067,99305926,6866242687
2015,35  - 39,Tempo indeterminato,Anno intero,1061869,55216859,51067765,330123212,30208832523
2015,40  - 44,Stagionale,Fino a 3 mesi,12310,125490,97884,507011,31128326
2015,40  - 44,Stagionale,Oltre 3 e fino a 6 mesi,17035,414618,358078,1993758,133483716
2015,40  - 44,Stagionale,Oltre 6 e meno di 12 mesi,13279,513754,470593,2640959,204514476
2015,40  - 44,Stagionale,Anno intero,251,13052,11475,77545,5836918
2015,40  - 44,Tempo determinato,Fino a 3 mesi,91195,799219,610232,3188480,193639195
2015,40  - 44,Tempo determinato,Oltre 3 e fino a 6 mesi,66789,1698844,1403704,8099165,521225376
2015,40  - 44,Tempo determinato,Oltre 6 e meno di 12 mesi,108722,4684027,4130359,24918608,1724476426
2015,40  - 44,Tempo determinato,Anno intero,32766,1703828,1522410,10145864,786299033
