anno,classe_di_eta,sesso,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2016,60  - 64,Femmine,Fino a 3 mesi,16694,188897,130309,632362,40061281
2016,60  - 64,Femmine,Oltre 3 e fino a 6 mesi,16457,463419,335813,2034264,134415209
2016,60  - 64,Femmine,Oltre 6 e meno di 12 mesi,47348,2189396,1626932,11488341,744086421
2016,60  - 64,Femmine,Anno intero,105571,5489680,4553137,32858727,2718233884
2016,60  - 64,Maschi,Fino a 3 mesi,37779,379254,325392,1386314,127503833
2016,60  - 64,Maschi,Oltre 3 e fino a 6 mesi,32643,884431,782547,4028411,402949296
2016,60  - 64,Maschi,Oltre 6 e meno di 12 mesi,88768,4109432,3761813,21571703,2126964690
2016,60  - 64,Maschi,Anno intero,227162,11812408,11343213,70698071,9825067776
2016,65 ed oltre,Femmine,Fino a 3 mesi,8458,98952,66622,267613,14242359
2016,65 ed oltre,Femmine,Oltre 3 e fino a 6 mesi,5036,154542,96220,603966,31661147
2016,65 ed oltre,Femmine,Oltre 6 e meno di 12 mesi,8785,402189,239779,2063847,100360623
2016,65 ed oltre,Femmine,Anno intero,16528,859445,593605,5145075,309426430
2016,65 ed oltre,Maschi,Fino a 3 mesi,23097,250725,193631,750015,58422427
2016,65 ed oltre,Maschi,Oltre 3 e fino a 6 mesi,13537,394274,298961,1609582,134752843
2016,65 ed oltre,Maschi,Oltre 6 e meno di 12 mesi,23377,1062828,803916,5508624,434356902
2016,65 ed oltre,Maschi,Anno intero,36597,1903032,1552769,11386944,1218161843
2016,Fino a 19,Femmine,Fino a 3 mesi,44041,358774,231551,1380404,58523392
2016,Fino a 19,Femmine,Oltre 3 e fino a 6 mesi,8765,211042,142368,965085,40026890
2016,Fino a 19,Femmine,Oltre 6 e meno di 12 mesi,5333,226993,154785,1177175,46503007
2016,Fino a 19,Femmine,Anno intero,2367,123084,93016,734244,29293307
2016,Fino a 19,Maschi,Fino a 3 mesi,60540,515152,371195,2072957,100699357
2016,Fino a 19,Maschi,Oltre 3 e fino a 6 mesi,18875,442517,344520,2101684,106051418
2016,Fino a 19,Maschi,Oltre 6 e meno di 12 mesi,12431,535104,424725,2774469,136168437
2016,Fino a 19,Maschi,Anno intero,6926,360152,313641,2148515,112891095
2017,20  - 24,Femmine,Fino a 3 mesi,173876,1731879,1184709,5755192,259213495
2017,20  - 24,Femmine,Oltre 3 e fino a 6 mesi,90098,2415455,1669778,10376075,474443497
2017,20  - 24,Femmine,Oltre 6 e meno di 12 mesi,126789,5608523,4062002,28986888,1386177908
2017,20  - 24,Femmine,Anno intero,100998,5251886,4247648,31366902,1629752588
2017,20  - 24,Maschi,Fino a 3 mesi,182795,1756210,1291670,6399644,331329430
2017,20  - 24,Maschi,Oltre 3 e fino a 6 mesi,109851,2839005,2196017,12714629,689490610
2017,20  - 24,Maschi,Oltre 6 e meno di 12 mesi,181024,8137031,6814007,42189953,2443444350
2017,20  - 24,Maschi,Anno intero,181979,9462900,8643548,56503741,3627473920
2017,25  - 29,Femmine,Fino a 3 mesi,146107,1493621,1000954,5256280,270567008
2017,25  - 29,Femmine,Oltre 3 e fino a 6 mesi,107980,2892027,2045357,12818485,665953328
2017,25  - 29,Femmine,Oltre 6 e meno di 12 mesi,216135,9708463,7353014,50527753,2731222275
2017,25  - 29,Femmine,Anno intero,286470,14896434,12797166,89050738,5683441376
2017,25  - 29,Maschi,Fino a 3 mesi,142086,1356136,1018044,5189975,303404685
2017,25  - 29,Maschi,Oltre 3 e fino a 6 mesi,107410,2782154,2202747,12674606,773270248
2017,25  - 29,Maschi,Oltre 6 e meno di 12 mesi,247737,11338783,9743976,59032798,3818304353
2017,25  - 29,Maschi,Anno intero,415471,21604477,20233940,129116428,9779006065
2017,30  - 34,Femmine,Fino a 3 mesi,114269,1252661,839680,4227169,236797779
2017,30  - 34,Femmine,Oltre 3 e fino a 6 mesi,99698,2763801,1977638,11962992,660852816
2017,30  - 34,Femmine,Oltre 6 e meno di 12 mesi,232722,10575100,8152950,54919012,3182079286
2017,30  - 34,Femmine,Anno intero,365145,18987528,16467528,113535573,8128200532
2017,30  - 34,Maschi,Fino a 3 mesi,105939,1012242,778590,3947903,252671523
2017,30  - 34,Maschi,Oltre 3 e fino a 6 mesi,87528,2288846,1845910,10441722,689270602
2017,30  - 34,Maschi,Oltre 6 e meno di 12 mesi,245270,11420168,10022964,59418448,4178437753
2017,30  - 34,Maschi,Anno intero,565547,29408426,28022666,175809794,15508255303
