"COMUNE","PROVINCIA","VOTI_Altri","VOTI_CDX","VOTI_CSX/M5S","PCT_Altri","PCT_CDX","PCT_CSX/M5S","ELETTORI","VOTANTI","BIANCHE","VOTI_ESPRESSI","AFFLUENZA","VINCITORE","DIFF_VOTI","X","Y","COD_PROV","COD_REG"
"MONTERONI DI LECCE","LECCE",453,3735,3061,6.25,51.52,42.23,11691,8314,801,7513,71.11,"CDX",674,18.089902,40.316242,75,16
"MONTESANO SALENTINO","LECCE",26,466,869,1.91,34.24,63.85,2327,1508,88,1420,64.8,"CSX/M5S",403,18.31554,39.983982,75,16
"MORCIANO DI LEUCA","LECCE",30,499,970,2,33.29,64.71,3951,1589,65,1524,40.22,"CSX/M5S",471,18.305124,39.846794,75,16
"MOTTA MONTECORVINO","FOGGIA",7,121,217,2.03,35.07,62.9,704,378,28,350,53.69,"CSX/M5S",96,15.107386,41.509337,71,16
"MOTTOLA","TARANTO",132,3485,4432,1.64,43.3,55.06,13913,8567,306,8261,61.58,"CSX/M5S",947,17.031964,40.678926,73,16
"MURO LECCESE","LECCE",30,1034,1496,1.17,40.39,58.44,4710,2761,115,2646,58.62,"CSX/M5S",462,18.339176,40.110718,75,16
"NARDO'","LECCE",391,4201,11466,2.43,26.16,71.4,29586,16870,461,16409,57.02,"CSX/M5S",7265,17.957143,40.232873,75,16
"NEVIANO","LECCE",55,1235,1626,1.89,42.35,55.76,5344,3573,526,3047,66.86,"CSX/M5S",391,18.126179,40.097432,75,16
"NOCI","BARI",427,3671,5470,4.46,38.37,57.17,17350,10134,322,9812,58.41,"CSX/M5S",1799,17.099824,40.765163,72,16
"NOCIGLIA","LECCE",16,579,568,1.38,49.79,48.84,2227,1246,55,1191,55.95,"CDX",11,18.321796,40.028195,75,16
"NOICATTARO","BARI",339,3842,7435,2.92,33.08,64.01,21586,12097,240,11857,56.04,"CSX/M5S",3593,16.986981,41.044511,72,16
"NOVOLI","LECCE",68,2063,1837,1.71,51.99,46.3,7135,4216,156,4060,59.09,"CDX",226,18.042821,40.372567,75,16
"ORDONA","FOGGIA",20,646,768,1.39,45.05,53.56,2081,1724,255,1469,82.84,"CSX/M5S",122,15.619357,41.307313,71,16
"ORIA","BRINDISI",119,3590,2663,1.87,56.34,41.79,12991,6927,310,6617,53.32,"CDX",927,17.660162,40.490637,74,16
"ORSARA DI PUGLIA","FOGGIA",16,505,775,1.23,38.97,59.8,3146,1463,102,1361,46.5,"CSX/M5S",270,15.291168,41.294856,71,16
"ORTA NOVA","FOGGIA",81,2436,4029,1.24,37.21,61.55,13683,6985,258,6727,51.05,"CSX/M5S",1593,15.721566,41.322071,71,16
"ORTELLE","LECCE",14,499,832,1.04,37.1,61.86,2151,1412,37,1375,65.64,"CSX/M5S",333,18.39981,40.025694,75,16
"OSTUNI","BRINDISI",408,5589,7455,3.03,41.55,55.42,27207,14238,445,13793,52.33,"CSX/M5S",1866,17.54886,40.730207,74,16
"OTRANTO","LECCE",69,1819,1073,2.33,61.43,36.24,5242,3131,97,3034,59.73,"CDX",746,18.458205,40.161804,75,16
"PALAGIANELLO","TARANTO",175,1678,1597,5.07,48.64,46.29,6535,3750,170,3580,57.38,"CDX",81,16.968966,40.568758,73,16
"PALAGIANO","TARANTO",106,3118,4159,1.44,42.23,56.33,13159,7891,282,7609,59.97,"CSX/M5S",1041,17.020821,40.552151,73,16
