anno,attivita_economica_ateco_2007,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2016,Attivita' dei servizi di alloggio e di ristorazione,Oltre 3 e fino a 6 mesi,275004,7248467,5223446,32070360,1689696391
2016,Attivita' dei servizi di alloggio e di ristorazione,Oltre 6 e meno di 12 mesi,422772,18660075,13368966,96357938,5123089402
2016,Attivita' dei servizi di alloggio e di ristorazione,Anno intero,388504,20202178,15943361,120649644,7161974368
2016,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Fino a 3 mesi,5947,47977,32749,187354,10224684
2016,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Oltre 3 e fino a 6 mesi,2295,67329,41202,271623,14109780
2016,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Oltre 6 e meno di 12 mesi,4575,213501,159277,1123760,58751590
2016,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Anno intero,30478,1584849,1392529,9490902,550361982
2016,Attivita' finanziarie e assicurative,Fino a 3 mesi,7947,80223,65725,342820,42225801
2016,Attivita' finanziarie e assicurative,Oltre 3 e fino a 6 mesi,10412,270897,232857,1302781,156988480
2016,Attivita' finanziarie e assicurative,Oltre 6 e meno di 12 mesi,51489,2433519,2187540,13155618,1594777314
2016,Attivita' finanziarie e assicurative,Anno intero,458967,23866283,22989176,142841570,23164767317
2016,Attivita' immobiliari,Fino a 3 mesi,4200,42939,28026,171312,10928430
2016,Attivita' immobiliari,Oltre 3 e fino a 6 mesi,4005,104497,72151,485746,30332600
2016,Attivita' immobiliari,Oltre 6 e meno di 12 mesi,8909,397022,295041,2106594,142489966
2016,Attivita' immobiliari,Anno intero,28751,1495052,1238968,8954210,835778425
2016,Attivita' manifatturiere,Fino a 3 mesi,211570,2216541,1800627,8482960,601902918
2016,Attivita' manifatturiere,Oltre 3 e fino a 6 mesi,187090,5121681,4249589,22413686,1604838576
2016,Attivita' manifatturiere,Oltre 6 e meno di 12 mesi,763132,36700804,33416889,191128471,15021601580
2016,Attivita' manifatturiere,Anno intero,2553951,132805418,128288878,794059945,86023655476
2016,"Attivita' professionali, scientifiche e tecniche",Fino a 3 mesi,50075,476456,362860,1640923,104904137
2016,"Attivita' professionali, scientifiche e tecniche",Oltre 3 e fino a 6 mesi,30400,825540,631834,3605046,243271048
2016,"Attivita' professionali, scientifiche e tecniche",Oltre 6 e meno di 12 mesi,78022,3599200,2848715,18879601,1321843516
2016,"Attivita' professionali, scientifiche e tecniche",Anno intero,312945,16273124,14356286,97442048,8960352991
2016,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Fino a 3 mesi,199817,2022575,1358201,7981568,473987722
2016,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Oltre 3 e fino a 6 mesi,159245,4211172,2967185,18986672,1131311860
2016,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Oltre 6 e meno di 12 mesi,451138,20964770,16143178,109366760,7041065847
2016,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Anno intero,1431364,74430839,65725042,445506499,38145331566
2016,Costruzioni,Fino a 3 mesi,168183,1561558,1439300,6187770,474463428
2016,Costruzioni,Oltre 3 e fino a 6 mesi,112010,3008285,2801055,13173707,1005254172
2016,Costruzioni,Oltre 6 e meno di 12 mesi,317184,15214934,14553121,76774072,6141877128
2016,Costruzioni,Anno intero,337399,17544745,16733389,104669623,9172215358
2016,Estrazione di minerali da cave e miniere,Fino a 3 mesi,1506,15551,14189,57338,6154463
2016,Estrazione di minerali da cave e miniere,Oltre 3 e fino a 6 mesi,1535,41863,38797,187911,22500518
2016,Estrazione di minerali da cave e miniere,Oltre 6 e meno di 12 mesi,8168,399131,385904,2071993,230313053
2016,Estrazione di minerali da cave e miniere,Anno intero,32197,1674244,1653964,10008540,1638600137
2016,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Fino a 3 mesi,6902,67723,53546,290321,20293558
2016,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Oltre 3 e fino a 6 mesi,6839,172423,143750,825023,58122949
2016,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Oltre 6 e meno di 12 mesi,24254,1143786,1046090,6096881,501677233
2016,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Anno intero,123729,6433908,6265324,38494859,3995430685
2016,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Fino a 3 mesi,819,8135,7352,35543,4973987
2016,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Oltre 3 e fino a 6 mesi,2575,66410,62192,358566,49644859
2016,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Oltre 6 e meno di 12 mesi,7116,337242,325633,1853620,239712932
2016,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Anno intero,70066,3643432,3607426,21817744,3475612813
2016,Istruzione,Fino a 3 mesi,74636,702701,541643,2916542,179874927
2016,Istruzione,Oltre 3 e fino a 6 mesi,96544,2518621,2230779,13061435,842925878
2016,Istruzione,Oltre 6 e meno di 12 mesi,204146,8493010,7608282,47076128,3130178375
2016,Istruzione,Anno intero,114019,5928975,5168659,35477335,2495555838
2016,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Fino a 3 mesi,303549,2690717,1834344,9973332,547773946
2016,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Oltre 3 e fino a 6 mesi,184570,4874721,3609877,21697711,1234659182
