anno,attivita_economica_ateco_2007,tipologia_contrattuale,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2018,Attivita' finanziarie e assicurative,Stagionale,68,1600,1455,8239,697950
2018,Attivita' finanziarie e assicurative,Tempo determinato,14055,513077,456302,2878392,298106842
2018,Attivita' finanziarie e assicurative,Tempo indeterminato,499691,25310464,24270507,149828982,24498208091
2018,Attivita' immobiliari,Stagionale,1806,44057,34635,204339,13795602
2018,Attivita' immobiliari,Tempo determinato,7342,225488,159875,1196862,69797458
2018,Attivita' immobiliari,Tempo indeterminato,41213,1947631,1572748,11304731,1036355147
2018,Attivita' manifatturiere,Stagionale,36330,814458,734971,3917484,295222352
2018,Attivita' manifatturiere,Tempo determinato,413306,14113173,12624445,75359443,5422872886
2018,Attivita' manifatturiere,Tempo indeterminato,3387016,167771328,159710865,974437216,103062476385
2018,"Attivita' professionali, scientifiche e tecniche",Stagionale,3531,70760,55616,350648,20182935
2018,"Attivita' professionali, scientifiche e tecniche",Tempo determinato,78504,2187568,1804909,11109595,774789802
2018,"Attivita' professionali, scientifiche e tecniche",Tempo indeterminato,410887,19801717,17203839,115207164,10742481480
2018,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Stagionale,19291,481113,399959,2367288,156777705
2018,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Tempo determinato,420731,13224234,9934266,69492879,4094239129
2018,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Tempo indeterminato,1926949,92962412,79659369,537133076,45732535071
2018,Costruzioni,Stagionale,724,16068,15084,78224,5264444
2018,Costruzioni,Tempo determinato,235312,6288759,5894091,31437164,2373249261
2018,Costruzioni,Tempo indeterminato,701702,31484218,29971562,173166069,14887177060
2018,Estrazione di minerali da cave e miniere,Stagionale,83,1992,1862,9970,813958
2018,Estrazione di minerali da cave e miniere,Tempo determinato,2843,102740,97625,553018,51158995
2018,Estrazione di minerali da cave e miniere,Tempo indeterminato,38122,1908888,1876384,11119503,1817741783
2018,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Stagionale,572,12927,11014,67417,4290760
2018,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Tempo determinato,20835,715502,630563,3897788,270505042
2018,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Tempo indeterminato,149656,7484153,7216980,44002462,4566207384
