paese,data,indice_1991_100
Italia,2012-01-01,97.69
Italia,2012-02-01,97.1
Italia,2012-03-01,96.63
Italia,2012-04-01,96.15
Italia,2012-05-01,95.8
Italia,2012-06-01,94.94
Italia,2012-07-01,94.93
Italia,2012-08-01,94.77
Italia,2012-09-01,94.48
Italia,2012-10-01,94.13
Italia,2012-11-01,93.29
Italia,2012-12-01,92.94
Italia,2013-01-01,92.39
Italia,2013-02-01,91.88
Italia,2013-03-01,91.29
Italia,2013-04-01,90.9
Italia,2013-05-01,91.03
Italia,2013-06-01,91
Italia,2013-07-01,90.96
Italia,2013-08-01,90.74
Italia,2013-09-01,90.92
Italia,2013-10-01,91.24
Italia,2013-11-01,91.22
Italia,2013-12-01,91.06
Italia,2014-01-01,91.17
Italia,2014-02-01,91.45
Italia,2014-03-01,91.24
Italia,2014-04-01,91.14
Italia,2014-05-01,90.88
Italia,2014-06-01,91.09
Italia,2014-07-01,90.82
Italia,2014-08-01,90.43
Italia,2014-09-01,90.35
Italia,2014-10-01,90.1
Italia,2014-11-01,90.05
Italia,2014-12-01,89.86
Italia,2015-01-01,89.83
Italia,2015-02-01,90.15
Italia,2015-03-01,90.4
Italia,2015-04-01,90.71
Italia,2015-05-01,91.16
Italia,2015-06-01,91.37
Italia,2015-07-01,91.8
Italia,2015-08-01,91.72
Italia,2015-09-01,91.77
Italia,2015-10-01,91.8
Italia,2015-11-01,91.8
Italia,2015-12-01,91.59
Italia,2016-01-01,91.69
Italia,2016-02-01,91.94
Italia,2016-03-01,92.04
Italia,2016-04-01,92.39
Italia,2016-05-01,92.36
Italia,2016-06-01,92.44
Italia,2016-07-01,92.39
Italia,2016-08-01,92.67
Italia,2016-09-01,92.89
Italia,2016-10-01,92.92
Italia,2016-11-01,93.37
Italia,2016-12-01,94.27
Italia,2017-01-01,94.35
Italia,2017-02-01,94.48
Italia,2017-03-01,94.78
Italia,2017-04-01,94.94
Italia,2017-05-01,95.09
Italia,2017-06-01,95.17
Italia,2017-07-01,95.86
Italia,2017-08-01,96.69
Italia,2017-09-01,96.89
Italia,2017-10-01,97.22
Italia,2017-11-01,97.71
Italia,2017-12-01,98.51
Italia,2018-01-01,98.49
Italia,2018-02-01,98.11
Italia,2018-03-01,98.46
Italia,2018-04-01,98.49
Italia,2018-05-01,98.4
Italia,2018-06-01,97.83
Italia,2018-07-01,97.79
Italia,2018-08-01,97.96
Italia,2018-09-01,97.91
Italia,2018-10-01,98.07
Italia,2018-11-01,97.79
Italia,2018-12-01,97.53
Italia,2019-01-01,97.51
Italia,2019-02-01,97.45
Italia,2019-03-01,97.22
Italia,2019-04-01,96.81
Italia,2019-05-01,97.03
Italia,2019-06-01,97.11
Italia,2019-07-01,97.14
Italia,2019-08-01,96.95
Italia,2019-09-01,96.84
Italia,2019-10-01,96.85
